Product,Part Prefix,5k Pricing,Class B Safety Library,CPU,FPU,Architecture,CPU Speed Max MHz (megahertz),Program Memory size (KB),RAM KB (kilobyte),Data EEPROM (bytes),Direct Memory Access (DMA) Channels,ADC Channels,ADC Resolution (bits),Number of DACs,DAC Resolution (Bits),USB,Number of USB Modules,Number of Comparators,Motor Control PWM Outputs,Number of Op Amps,Low Power,QSPI,Quadrature Encoder Interface,Crypto Engine,Hardware Touch Peripheral,Type of CAN module,CAN/CAN-FD,Ethernet,Pincount,Packages,Vbat/Vddbu battery backup,Peripheral Pin Select / Pin Muxing,Auxiliary Flash (KB),External Memory Bus Interface,SDIO/SD-CARD/eMMC,Segmented LCD (# of segments),Graphics Controller/GPU
PIC32MX420F032H,PIC32MX,4.57,,32-bit MIPS MCU,No,32,40,32,8,0,0,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX450F128L,PIC32MX,4.57,,32-bit MIPS MCU,No,32,120,128,32,0,4,28,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,None,None,0,None,100,100\TQFP,No,Yes,12,No,0,0,No
PIC32MX664F128H,PIC32MX,4.71,,32-bit MIPS MCU,No,32,80,128,32,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX564F064L,PIC32MX,4.76,,32-bit MIPS MCU,No,32,80,64,16,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,CAN,1,None,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX170F512H,PIC32MX,4.77,,32-bit MIPS MCU,No,32,50,512,64,0,4,28,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,Yes,3,No,0,0,No
PIC32MX350F256H,PIC32MX,4.77,,32-bit MIPS MCU,No,32,120,256,64,0,4,28,10,0,0,None,0,2,0,0,No,0,0,No,None,None,0,None,64,64\QFN64\TQFP,No,Yes,12,No,0,0,No
PIC32MX320F128H,PIC32MX,4.85,,32-bit MIPS MCU,No,32,80,128,16,0,0,16,10,0,0,None,0,2,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX764F128H,PIC32MX,4.85,,32-bit MIPS MCU,No,32,80,128,32,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,CAN,1,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX450F256H,PIC32MX,4.96,,32-bit MIPS MCU,No,32,120,256,64,0,4,28,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,None,None,0,None,64,64\QFN64\TQFP,No,Yes,12,No,0,0,No
PIC32MX270F512H,PIC32MX,4.96,,32-bit MIPS MCU,No,32,50,512,64,0,6,28,10,0,0,FS Device/Host/OTG,1,3,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,Yes,3,No,0,0,No
PIC32MX564F128L,PIC32MX,4.99,,32-bit MIPS MCU,No,32,80,128,32,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,CAN,1,None,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX664F064L,PIC32MX,4.99,,32-bit MIPS MCU,No,32,80,64,16,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,10/100 Base-TX Mac,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX340F128H,PIC32MX,5.12,,32-bit MIPS MCU,No,32,80,128,32,0,4,16,10,0,0,None,0,2,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX570F512H,PIC32MX,5.16,,32-bit MIPS MCU,No,32,50,512,64,0,8,28,10,0,0,FS Device/Host/OTG,1,3,0,0,No,0,0,No,,CAN,1,None,64,"64\QFN,64\TQFP",No,Yes,3,No,0,0,No
PIC32MX664F128L,PIC32MX,5.24,,32-bit MIPS MCU,No,32,80,128,32,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,10/100 Base-TX Mac,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX340F256H,PIC32MX,5.27,,32-bit MIPS MCU,No,32,80,256,32,0,4,16,10,0,0,None,0,2,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX350F256L,PIC32MX,5.34,,32-bit MIPS MCU,No,32,120,256,64,0,4,28,10,0,0,None,0,2,0,0,No,0,0,No,None,None,0,None,100,100\TQFP,No,Yes,12,No,0,0,No
